code,name,brand,categories,countries,energy_kcal,fat,sugar,protein,salt,integrity_score,risk_level
3564700827840,Yaourt à la grecque sur lit de passion et pêche,"Délisse, Marque Repère","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts sucrés, Yaourts brassés aux fruits, Yaourts à la grecque, en:yoghurts-high-in-protein-on-a-fruit-layer",France,126.0,6.8,13.0,2.2,0.1,0.8543344060741328,moderate
356470085504103,Biscuits Nat&Vie Chocolat,Marque Repère,"Snacks, Breakfasts, Sweet snacks, Biscuits and cakes, Biscuits, Dry biscuits, Biscuit (cookie) vitamins and chemical elements content guaranteed, Breakfast biscuit, en:chocolate-biscuits",France,456.0,16.0,24.0,9.5,0.57,0.8488197210999537,moderate
3564706562080,Carré craquant à la framboise,"Marque Repère,Brin de Jour","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux",France,383.0,6.4,33.0,5.3,0.42,0.882302636531281,moderate
3564706604360,Muesli pépites croustillantes chocolat-noissette réduit en sucre,Grainea,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Mueslis, Mueslis croustillants, Mueslis au chocolat, Mueslis croustillant au chocolat, Muesli croustillant au chocolat non enrichi en vitamines et minéraux",France,446.0,17.0,8.7,9.9,0.0975,0.8624770534489383,moderate
3564706605442,Galette de soja à la provencale,"Marque Repère,NAT&vie","Plant-based foods and beverages,Plant-based foods,Meat alternatives,Meat analogues,Vegetarian patties,Soy steak,Patties from soy and or wheat proteins",France,88.0,4.2,2.7,5.5,0.79,0.8707671361323668,moderate
3564706612785,Grainéa Muesli pépites croustillantes chocolat noir,"Marque Repère, Grainéa","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Mueslis,Mueslis croustillants,Mueslis au chocolat,Mueslis croustillant au chocolat,Muesli croustillant au chocolat non enrichi en vitamines et minéraux",France,446.0,15.0,22.0,9.6,0.13,0.8430081182337067,moderate
3564707090537,Fromage frais aux fruits x 12,"Bio Village, Marque Repère","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Petits suisses, Fromage frais enrichi en calcium et vitamine D, Petits suisses au fruits, Quarks, Fromages blancs, Petit suisse à 2-3% de matières grasses, Fromage frais aux fruits à 2-3% de matières grasses enrichi en calcium et vitamine D, Fromages à la crème",France,96.0,2.7,9.3,8.1,0.1,0.8465636715457195,moderate
3564707096126,Infusion,"Bio Village, Marque Repère","Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Herbal teas, Tea bags, en:unsweetened-beverages",France,2.0,0.0,0.5,0.0,0.0,0.9904090644280215,low
3564707144049,Céréales fourrées à l'abricot,Bio Village,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux",France,374.0,5.2,36.0,4.3,0.25,0.8715235044685756,moderate
3564707179812,Muesli croustillant chocolat,"Bio Village, Marque Repère","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Mueslis,Mueslis croustillants,Mueslis au chocolat,Mueslis croustillant au chocolat,Muesli croustillant au chocolat non enrichi en vitamines et minéraux",France,445.0,15.0,15.0,10.0,0.04,0.8502728958641838,moderate
3564707187619,Pétales Choco,Bio Village,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit-déjeuner non fourrées et non enrichies en vitamines et minéraux",France,378.0,3.0,19.0,11.0,0.28,0.8589461609879333,moderate
3564709018607,Yaourt au Lait Entier de Haute Savoie sur Lit de Fruits Rouges,"Mifoma France, Nos Régions ont du Talent","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, en:yoghurts-high-in-protein-on-a-fruit-layer",France,105.0,2.6,14.0,3.2,0.1,0.8554547643272726,moderate
3564709053462,Yaourts au lait entier de haute-savoie sur lit de fruits,"Mifroma France, Nos Régions ont du Talent","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts sucrés, Yaourts brassés aux fruits, Yaourts entiers, en:yoghurts-high-in-protein-on-a-fruit-layer",France,106.0,2.6,14.3,3.1,0.125,0.8441287051044148,moderate
3572420000429,Cereales Croc' Miel,"Lucien Georgelin,Lucien Georgelin Céréales","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales fourrées,Céréales au miel,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux",France,390.0,5.9,39.0,4.7,0.32,0.8617580674523718,moderate
3572420000474,Céréales croc'lait,Lucien Georgelin,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux",France,451.0,17.0,34.0,10.0,0.55,0.8352859197019957,moderate
3572420000535,Croc'abricot,Lucien Georgelin,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux",France,380.0,5.3,40.0,4.7,0.36,0.868747235337147,moderate
3572420000542,Croc'miel,Lucien-georgelin,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Céréales fourrées,Céréales pour petit déjeuner fourrées fourrage autre que chocolat enrichies en vitamines et minéraux","Danemark,France",390.0,5.9,39.0,4.7,0.3,0.870208717140264,moderate
3572420000740,pétale choc,Lucien Georgelin,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit-déjeuner non fourrées et non enrichies en vitamines et minéraux",France,386.0,5.2,21.3,9.6,0.01,0.845543480740455,moderate
